strategy,run,grid_size,grid_label,pattern_diversity,pattern_richness,pattern_evenness,unique_patterns,total_transitions,unique_transitions,connectivity_ratio,vertical_stratification,layer_density_variation,average_layer_density,average_kl_divergence,max_kl_divergence,uniform_kl_divergence
random_walk,23,8,8×8×8,3.7387134356966403,70,0.8800088555337974,72,1344,267,0.10446009389671361,0.03673469387755102,0.33729739288942034,0.265625,17.811322262871233,20.733428706489775,1.5961657608706763
random_walk,24,8,8×8×8,4.00456715162095,76,0.9246856910742475,78,1344,304,0.10123210123210123,0.09523809523809523,0.3415233280374124,0.3671875,15.62128543686645,20.36198982849409,1.4399055085707175
random_walk,25,8,8×8×8,3.7087826028482067,63,0.895163408330285,65,1344,242,0.11634615384615385,0.0,0.3478975637220675,0.2265625,20.15926898921132,20.41410791383149,1.4234083468110053
random_walk,26,8,8×8×8,3.5300034869252075,66,0.842552359151637,68,1344,238,0.1044776119402985,0.03361344537815126,0.3284910068064792,0.240234375,18.234639273264094,20.984585527108234,1.6314978028207143
random_walk,27,8,8×8×8,3.877265222914087,70,0.9126208226712758,72,1344,271,0.10602503912363068,0.11548619447779111,0.3044871135922668,0.3828125,15.62497331961526,20.666071476168437,1.4585430538459618
random_walk,28,8,8×8×8,4.028906260112846,78,0.9247591290543454,80,1344,316,0.1,0.12489557226399331,0.3156095293238149,0.4375,15.052881664074567,20.392447064590975,1.4389430433118264
random_walk,29,8,8×8×8,3.862343955656279,72,0.9031202923423209,74,1344,278,0.10292484265087005,0.11548619447779111,0.3044871135922668,0.3828125,15.634112595830558,20.711767857244936,1.4943299907488192
random_walk,30,8,8×8×8,3.2969338456487893,55,0.8227251624093567,57,1344,196,0.12280701754385964,0.0,0.3376365102975943,0.20703125,20.453982792943698,20.913633580784364,1.5414685279454332
random_walk,31,8,8×8×8,3.649028535558555,58,0.8986774413729552,60,1344,227,0.12824858757062146,0.0,0.3478975637220675,0.2265625,20.21943802105114,20.457429620353835,1.4097104543854229
random_walk,32,8,8×8×8,3.8734069215271956,72,0.9057071124407442,74,1344,278,0.10292484265087005,0.11548619447779111,0.3044871135922668,0.3828125,15.627336529249527,20.677887524339788,1.4886832686115141
random_walk,33,8,8×8×8,3.709840660646735,69,0.8761802889508581,71,1344,264,0.1062374245472837,0.04201680672268908,0.33729739288942034,0.265625,17.606501823952353,20.773122503991004,1.591700474909402
random_walk,34,8,8×8×8,3.744463780914139,69,0.8843574853038103,71,1344,265,0.10663983903420524,0.03673469387755102,0.33729739288942034,0.265625,17.80724910165114,20.72120922282948,1.5787221541295429
random_walk,35,8,8×8×8,3.855271025242403,71,0.9044242440082808,73,1344,272,0.1035007610350076,0.11020408163265305,0.3044871135922668,0.3828125,15.7692757885311,20.73342870648978,1.4839538920853759
random_walk,36,8,8×8×8,3.8112491666780723,70,0.8970821313288393,72,1344,270,0.1056338028169014,0.07346938775510203,0.32661015651069014,0.32421875,16.531988345493577,20.721209222829483,1.5178839627382867
random_walk,37,8,8×8×8,3.392658540289408,56,0.842822888767219,58,1344,200,0.12099213551119177,0.0,0.3376365102975943,0.20703125,20.37471078041883,20.75508955573462,1.5066390236921732
random_walk,38,8,8×8×8,3.7704109558705374,69,0.8904856199948545,71,1344,265,0.10663983903420524,0.03673469387755102,0.33729739288942034,0.265625,17.788869852764126,20.666071476168433,1.564937717495986
random_walk,39,8,8×8×8,3.145449983919875,53,0.7922465280659222,55,1344,177,0.1191919191919192,0.0,0.33152534988623045,0.19140625,20.506683847194004,20.984585527108234,1.5584389632822162
random_walk,40,9,9×9×9,4.020946180057197,81,0.9150057353108497,83,1944,340,0.0999118424919189,0.1205547652916074,0.33574351491243776,0.4142661179698217,14.135472585653982,20.286489732631303,1.4759373918754075
random_walk,41,9,9×9×9,3.7349215845263974,73,0.870517863123466,75,1944,283,0.10198198198198198,0.13319327731092437,0.28043991831112464,0.3333333333333333,15.200264433216383,21.036585400369532,1.5189282650810227
random_walk,42,9,9×9×9,3.7750243399211514,73,0.8798648237333582,75,1944,286,0.10306306306306307,0.12857142857142856,0.28043991831112464,0.3333333333333333,15.289238907939433,20.916277134449956,1.5017413699926212
random_walk,43,9,9×9×9,3.7339734966362563,70,0.8788931807382908,72,1944,270,0.1056338028169014,0.13319327731092437,0.28043991831112464,0.3333333333333333,15.193956919821206,20.998740319998475,1.4715576320171884
random_walk,44,9,9×9×9,3.9765887382915794,81,0.9049117644388796,83,1944,329,0.09667940052894505,0.041666666666666664,0.3432207318846591,0.2633744855967078,16.974426657831575,20.413384178991254,1.5654056968724903
random_walk,45,9,9×9×9,3.2956872236975308,58,0.8116570569116363,60,1944,211,0.1192090395480226,0.0,0.32152066704257876,0.17969821673525377,20.442152717805754,20.839093484623465,1.6125822746008265
random_walk,46,9,9×9×9,3.7388356856089646,72,0.8742407243306544,74,1944,281,0.10403554239170677,0.13781512605042018,0.28043991831112464,0.3333333333333333,15.086429072776196,21.007728351986298,1.5010125096006939
random_walk,47,9,9×9×9,3.9528164299231574,79,0.9046489541444851,81,1944,324,0.1,0.041666666666666664,0.33649927256980994,0.2537722908093279,16.93157679651915,20.387766617650176,1.5485204173024054
random_walk,48,9,9×9×9,4.024314425093282,85,0.9058362209309403,87,1944,347,0.09275594760759155,0.039634146341463415,0.3432207318846591,0.2633744855967078,17.09163264141584,20.368715602113618,1.5705338743455632
random_walk,49,9,9×9×9,3.723351584836147,70,0.8763930221656793,72,1944,269,0.10524256651017215,0.10105042016806723,0.29857378020110376,0.29218106995884774,15.682412689520362,20.953268325693934,1.5064091956678871
random_walk,50,9,9×9×9,3.2401690607507616,57,0.8014167632571697,59,1944,204,0.11922852133255406,0.0,0.32152066704257876,0.17969821673525377,20.487047034607766,20.928882118227495,1.625120077856864
random_walk,51,9,9×9×9,4.013127298950413,82,0.9106836795745071,84,1944,340,0.09753298909925416,0.14463141025641024,0.29806286357583245,0.448559670781893,14.235224081777595,20.385830355148798,1.444314919503592
random_walk,52,9,9×9×9,3.6110915839619078,70,0.8499695487995921,72,1944,269,0.10524256651017215,0.06428571428571428,0.310256408641494,0.2510288065843621,16.60789681404813,21.024843097047686,1.5786107378566758
random_walk,53,9,9×9×9,3.3734422561654496,61,0.8206143918852257,63,1944,228,0.11674347158218126,0.0,0.32152066704257876,0.17969821673525377,20.37658727096359,20.74757100518025,1.5884962875252355
random_walk,54,9,9×9×9,3.7752405138978924,71,0.8856495497659209,73,1944,280,0.106544901065449,0.13781512605042018,0.28043991831112464,0.3333333333333333,15.068226658655112,20.898513867259798,1.4714242002416635
random_walk,55,9,9×9×9,3.9023398386597887,75,0.9038449524447012,77,1944,310,0.10594668489405332,0.13776770191243876,0.2842652147487214,0.37997256515775035,14.815355776521264,20.750553378184218,1.4217867877615922
random_walk,56,9,9×9×9,3.7252725709340497,70,0.8768451789855551,72,1944,270,0.1056338028169014,0.13319327731092437,0.28043991831112464,0.3333333333333333,15.198307382662739,21.024843097047675,1.4752866001584966
random_walk,57,9,9×9×9,3.9542536707625398,78,0.9076240410050873,80,1944,327,0.10348101265822784,0.07005689900426743,0.33248267098864004,0.3113854595336077,15.800149945186885,20.481843167395695,1.5139030484268678
random_walk,58,9,9×9×9,3.613469550071506,72,0.8449267372087647,74,1944,277,0.10255460940392447,0.06428571428571428,0.310256408641494,0.2510288065843621,16.610832389878592,21.036585400369535,1.6091300716314134
random_walk,59,9,9×9×9,3.558764640661124,68,0.8434075464053677,70,1944,252,0.10434782608695652,0.08823529411764705,0.2947745814493384,0.2606310013717421,16.46455386649272,21.222336788971024,1.5546720110838688
random_walk,60,9,9×9×9,3.749130828104449,70,0.8824608748522382,72,1944,273,0.1068075117370892,0.13319327731092437,0.28043991831112464,0.3333333333333333,15.189230711614009,20.9703830707553,1.4675065961207607
random_walk,61,9,9×9×9,4.031617683938576,83,0.9123700177881938,85,1944,341,0.09551820728291316,0.11684451219512196,0.3257533732866387,0.3868312757201646,14.707744432119323,20.445507213520955,1.4815254209014188
random_walk,62,9,9×9×9,4.021390544401302,84,0.9075957610007946,86,1944,336,0.09192886456908345,0.128125,0.3257533732866387,0.3868312757201646,14.536746419270315,20.490913111843483,1.4697774024832233
random_walk,63,9,9×9×9,3.996412997969516,85,0.8995558659102746,87,1944,343,0.09168671478214381,0.036585365853658534,0.3432207318846591,0.2633744855967078,17.12749868994183,20.44550721352096,1.5809299067652738
random_walk,64,9,9×9×9,3.677901560377901,73,0.8572279055022294,75,1944,284,0.10234234234234234,0.039285714285714285,0.3233589267085338,0.22770919067215362,17.41607764874055,20.769860631517663,1.6491867821692208
random_walk,65,9,9×9×9,3.9132932170607337,78,0.8982223446027758,80,1944,321,0.10158227848101266,0.10472972972972973,0.30650993532914816,0.33058984910836764,15.341812443642084,20.69920914705524,1.4964880853147247
random_walk,66,9,9×9×9,3.992708041821177,82,0.9060500153940827,84,1944,330,0.09466437177280551,0.034375,0.3432207318846591,0.2633744855967078,17.260810102025033,20.402945096212115,1.5662641472758132
random_walk,67,9,9×9×9,2.952181680443404,53,0.7435679150861629,55,1944,181,0.12188552188552189,0.0,0.31334025021944784,0.15775034293552814,20.568493928683598,21.108205690087424,1.5996456842381879
random_walk,68,9,9×9×9,3.8327161205952773,74,0.890487489756342,76,1944,297,0.10421052631578948,0.13655619905619906,0.2836489388336031,0.3717421124828532,14.812382384985762,20.73261114371099,1.5007116507627691
random_walk,69,9,9×9×9,3.702641433985034,71,0.8686182262776442,73,1944,274,0.10426179604261795,0.09642857142857142,0.29857378020110376,0.29218106995884774,15.827558666642682,21.02484309704767,1.5325229570617935
random_walk,70,9,9×9×9,3.1233087623666695,57,0.772512776974878,59,1944,205,0.11981297486849796,0.0,0.3167387885579236,0.16872427983539096,20.509587551075356,21.024843097047683,1.614256446347125
random_walk,71,9,9×9×9,3.923585237641991,79,0.89795904885939,81,1944,327,0.10092592592592593,0.14864864864864866,0.2842652147487214,0.37997256515775035,14.53070454440678,20.682094397952476,1.458465497362356
random_walk,72,9,9×9×9,3.7292166694600617,72,0.8719915386609729,74,1944,281,0.10403554239170677,0.13319327731092437,0.28043991831112464,0.3333333333333333,15.20311689072661,21.0537001454309,1.5075799083476773
random_walk,73,9,9×9×9,2.871793688887015,53,0.7233205395010092,55,1944,177,0.1191919191919192,0.0,0.31334025021944784,0.15775034293552814,20.625559478125396,21.222336788971024,1.637689383831815
random_walk,74,9,9×9×9,4.029298975757999,82,0.9143534565446705,84,1944,357,0.10240963855421686,0.15789473684210525,0.30524883803543534,0.48148148148148157,13.675674148238622,20.245800392736403,1.4299919777181362
random_walk,75,9,9×9×9,3.7363684332973657,72,0.873663814129358,74,1944,279,0.10329507589781563,0.09642857142857142,0.29857378020110376,0.29218106995884774,15.809820763359667,20.93615358063258,1.5317276112236715
random_walk,76,9,9×9×9,3.9608336115299303,81,0.9013265308391467,83,1944,343,0.10079341757272994,0.1477596017069701,0.29198458072385325,0.4266117969821674,14.181177555482071,20.500177501966977,1.4778602344861744
random_walk,77,9,9×9×9,4.044607847064024,84,0.9128357209713318,86,1944,348,0.09521203830369357,0.15221036585365855,0.29806286357583245,0.448559670781893,14.227688591118595,20.340617412153712,1.4393200996248863
random_walk,78,9,9×9×9,3.9917441080529144,80,0.910935610584208,82,1944,328,0.09876543209876543,0.11847576321260532,0.3181495531264576,0.36899862825788754,14.631758024680696,20.50416588840078,1.4641419570550072
random_walk,79,9,9×9×9,3.7440471676774356,70,0.8812642957960354,72,1944,269,0.10524256651017215,0.12857142857142856,0.28043991831112464,0.3333333333333333,15.301875036466987,20.992093905615285,1.470608143950459
random_walk,80,10,10×10×10,4.0870548367008555,91,0.9060479118882504,93,2700,401,0.09373539036933147,0.18692734546393083,0.29013100489261745,0.492,12.657683327968286,20.232577843319774,1.416529924322215
random_walk,81,10,10×10×10,3.619039520491201,70,0.8518403138767491,72,2700,269,0.10524256651017215,0.1469654528478058,0.26490753103677517,0.292,14.885230728485833,21.325407823451176,1.4805683975752728
random_walk,82,10,10×10×10,3.9687391896520245,85,0.893326745792628,87,2700,360,0.09623095429029671,0.08162393162393163,0.3229489123685045,0.27199999999999996,15.179941857907453,20.535824027623143,1.5355456505332055
random_walk,83,10,10×10×10,3.866407091779414,81,0.8798388502614533,83,2700,329,0.09667940052894505,0.0,0.32456740440161275,0.184,20.010192499051453,20.326254675097008,1.4962339414818864
random_walk,84,10,10×10×10,3.926128579131602,84,0.886095895491896,86,2700,350,0.09575923392612859,0.037037037037037035,0.3249369169546606,0.22400000000000003,16.909515145184912,20.468908944855315,1.6118429806149703
random_walk,85,10,10×10×10,3.778068807545034,78,0.86718414239672,80,2700,303,0.09588607594936709,0.0,0.3195559418943732,0.178,20.087503337282048,20.383599530634864,1.5206978712920254
random_walk,86,10,10×10×10,3.9517901794111636,85,0.8895116792338699,87,2700,349,0.09329056402031542,0.036111111111111115,0.3249369169546606,0.22400000000000003,17.158721023260256,20.44961780628991,1.6000988558391174
random_walk,87,10,10×10×10,3.523483552255708,69,0.8321669633085564,71,2700,264,0.1062374245472837,0.0,0.3116151472569971,0.166,20.25785871831493,20.64143834249421,1.5665859358113747
random_walk,88,10,10×10×10,4.174222227856701,97,0.9124559447517925,99,2700,429,0.08843537414965986,0.18438003220611918,0.2840844944730353,0.4640000000000001,13.126631874934711,20.251673260416425,1.399736051829417
random_walk,89,10,10×10×10,4.065550287994367,89,0.9057428477408562,91,2700,383,0.09352869352869353,0.03888888888888889,0.33638668225719043,0.242,16.59383969549208,20.282797144205258,1.565278699830115
